"Barrio"	"Distrito"	"Indice_Vuln"	"Areas de barrios"	"Zones verd"	"Densitat_p"	"turismes_e"	"atur_16_64"	"renda_mitj"	"risc_pobre"	"Index_Equi"	"Index_Soci"	"Index_Glob"	"Num_bancos"	"Precio_2022 (Euros/m2) de compra"	"Precio_2010 (Euros/m2) de compra"	"Precio_2022 (Euros/m2) de alquiler"	"Precio_2010 (Euros/m2) de alquiler"	"Importe Recibos personalidad F"	"Importe Recibos personalidad J"	"Importe Recibos sin personalidad"	"Imp.Recibos Actv.Almacen-Estacionamiento"	"Imp. Recibos Actv. Comercial"	"Imp. Recibos Actv. Cultural"	"Imp. Recibos Actv. Deportiva"	"Imp.Recibos Actv.Edificio singular"	"Imp. Recibos Actv. Espectaculos"	"Imp. Recibos Actv. Industrial"	"Imp.Recibos Actv.Obras urbanizacion"	"Imp.Recibos Actv.Ocio y Hosteleria"	"Imp. Recibos Actv. Oficinas"	"Imp. Recibos Actv. Religiosas"	"Imp. Recibos Actv. Residencial"	"Imp.Recibos Actv.Sanidad y Beneficiencia"	"Importe Recibos totales"
"1"	"AIORA"	"CAMINS AL GRAU"	"Vulnerable"	651213.25	1786	671081.83	12.25	179.67	10228.25	24.26	3.04	2.58	2.85	31	1894	1898	9.4	6.7	3641545.03	665931.17	14932.75	319329.47	549914.22	18523.42	12181.37	0	2242.08	92125.87	23968.32	80120.6	72017.31	687.38	3113701.73	37597.18	4322408.95
"2"	"ALBORS"	"CAMINS AL GRAU"	"Vulnerable"	256038.10938	712	210550.06	12.16	63.61	11500	20.97	3.31	3.13	3.13	36	1864	1898	9.3	6.7	1466611.07	556689.66	16541.62	163708.62	274168.37	8613.59	19615.39	0	5135.26	11591.52	718.25	128377.49	40265.8	145.43	1371467.75	16034.88	2039842.35
"3"	"ARRANCAPINS"	"EXTRAMURS"	"No Vulnerable"	874374.0625	1826	554390.86	11.74	134.79	15599.29	14.71	3.26	3.87	3.28	115	2263	1794	8.4	6.3	6530899.88	1820748.72	140188.91	627378.43	1199502.28	17897.75	3355.6	152382.63	0	70686.6	34050.52	15834.91	593226.97	0	5755826.7	21695.12	8491837.51
"4"	"BENICALAP"	"BENICALAP"	"Vulnerable"	1718964.5	6999	885304.66	11.7	300.97	10255.52	24.78	2.76	2.59	2.84	313	1602	1826	9.8	5.8	6412442.62	2174505.9	66727.56	751324.53	812967.44	18918.62	10061.03	10984.54	1035.42	162389.08	122003.37	733040.55	127116.87	10946.5	5857108.7	35779.43	8653676.08
"5"	"BENIFARAIG"	"POBLATS DEL NORD"	"Pot. Vulnerable"	1422815.25	521	242.36	11.93	7.45	10361	17.4	1.35	2.86	2.45	15	NA	NA	NA	NA	220503.87	6198.81	34.11	16586.81	8072.05	0	86.83	0	0	3237.03	5224.4	0	0	0	193375.17	176.4	226736.79
"6"	"BENIFERRI"	"POBLATS LOEST"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73	NA	NA	NA	NA	256345.39	557478.15	0	50737.29	69732.77	2077.06	12624.64	0	0	20842.2	32136.97	278303.79	107111.23	0	239868.03	259.706666666667	813823.54
"7"	"BENIMACLET"	"BENIMACLET"	"Pot. Vulnerable"	743183.1875	2723	673328.18	11.94	182.54	12312.74	406.7	3.05	3.09	3.06	234	2039	2121	8.9	6.8	4627986.58	750540.14	57931.02	391479.26	613831.32	3981.53	66618.8	15297.86	890.03	27056.34	6623.26	17333.01	223722.09	0	4054903.83	14720.41	5436457.74
"8"	"BENIMAMET"	"POBLATS LOEST"	"Pot. Vulnerable"	NA	2875	158274.64	12.24	123.12	9172.7	28.6	2.15	2.36	2.66	35	NA	NA	NA	NA	1910038.05	361004.54	20529.02	166996.48	163586.16	2246	1055.67	0	93.88	77107.32	61268.94	117448.91	16805.27	0	1678582.11	6380.87	2291571.61
"9"	"BETERO"	"POBLATS MARITIMS"	"Vulnerable"	255307.53125	1615	166801.71	11.75	55	11582.6	21.62	2.87	2.98	3.06	68	2099	1315	11.5	6.4	1206689.01	126731.42	731.436666666667	88620.9	95937.43	24101.32	1508.9	0	0	1589.98	4764.16	552.876666666667	9612.79	316.7	1104184.41	2092.96	1334517.96
"10"	"BORBOTO"	"POBLATS DEL NORD"	"Pot. Vulnerable"	NA	130	504.06	11.98	7.76	9863	20.9	1.68	2.69	2.6	9	NA	NA	NA	NA	154384	8466.32	0	9394.23	5184.02	0	89.55	0	0	3802.16	9061.39	0	239.93	0	135057.14	0	162850.32
"11"	"CABANYAL-CANYAMELAR"	"POBLATS MARITIMS"	"Vulnerable"	1349264	3672	335930.53	13.34	249.53	9936.22	29.5	2.91	2.13	2.59	347	2094	1315	11.5	6.4	2483725.88	970024.44	12033.35	160279.63	244745.88	67948.32	1675.79	31181.43	27969.64	104680.65	52038.31	370977.45	76861.97	864.706666666667	2304805.64	21801.25	3465783.67
"12"	"CAMI DE VERA"	"BENIMACLET"	"No Vulnerable"	NA	1359	71317.83	11.16	25.6	12772.67	43.6	3.12	3.44	3.46	67	2068	2121	8.9	6.8	1066814.9	125569.52	7524.51	87425.5	94683.27	21066.2	3894.82	0	0	28777.09	39901.12	0	4154.97	0	919279.98	725.98	1199908.93
"13"	"CAMI FONDO"	"CAMINS AL GRAU"	"No Vulnerable"	157188.03125	462	132638.28	12.67	42.76	10893.75	23.23	2.75	2.91	2.92	8	1893	1898	10.3	6.7	757465.62	318307.64	446.32	65750.49	140554.55	0	0	0	349.98	72188.2	10904.82	16813.57	17676.76	0	700038.73	51942.48	1076219.58
"14"	"CAMI REAL"	"JESUS"	"No Vulnerable"	1477502	5478	10047.85	11.57	21.89	9823.5	22.95	2.74	2.85	3.12	15	1261	1472	7.9	5.6	612527.49	88008.24	1116.555	50307.92	47718.37	514.16	5594.36	9628.49	0	33947.95	36286.51	0	646.62	0	518124.46	0	702768.84
"15"	"CAMPANAR"	"CAMPANAR"	"No Vulnerable"	985736.75	3216	99560.18	11.54	56.43	13421.33	16.47	2.99	3.49	3.23	95	2304	2455	8	9.2	2645870.85	4260160.47	43666.71	560547.51	2195082.57	52842.24	6339.18	101928.2	0	94637.63	16288.46	312946.37	556241.76	2647.91	2308882.67	741313.53	6949698.03
"16"	"CARPESA"	"POBLATS DEL NORD"	"Pot. Vulnerable"	NA	120	525.81	12.13	12.32	10829	20.4	1.67	2.56	2.5	14	NA	NA	NA	NA	245482.23	36637.47	0	15405.97	2447.77	0	1662.52	2800.26	0	32296.22	19691.49	2290.13	6760.3	0	198765.04	0	282119.7
"17"	"CASTELLAR-L'OLIVERAL"	"POBLATS DEL SUD"	"Pot. Vulnerable"	NA	683	32331.69	11.95	55.83	9940.6	20.96	1.71	2.56	2.5	39	NA	NA	NA	NA	1212422.71	72682.75	2918.2	98017.2	50455.28	1191.51	10343.06	10469.37	3246.91	66353.08	50723.77	753.41	5176.83	0	989327.3	1965.94	1288023.66
"18"	"CIUTAT DE LES ARTS I DE LES CIENCIES"	"QUATRE CARRERES"	"No Vulnerable"	989231.125	2693	91092.71	9.65	20.46	15245	14.17	2.81	4.2	3.56	167	2638	1166	9.9	7.1	2111882.81	5036554.11	30557.82	395104.52	697589.88	470265.71	412291.55	1194289.16	1441549.17	249.2	42621.31	162883.68	373707.43	11223.27	1951343.98	25875.88	7178994.74
"19"	"CIUTAT FALLERA"	"BENICALAP"	"Vulnerable"	NA	2135	85896.55	13.09	53.78	7679	34.63	2.58	1.61	2.45	55	1301	1826	8.7	5.8	628507.55	76316.62	481.34	29092.68	45024.56	8370.75	2810.24	0	0	43719.8	7284.05	1744.81	25480.6	512.82	539036.7	2228.5	705305.51
"20"	"CIUTAT JARDI"	"ALGIROS"	"No Vulnerable"	NA	2603	33658.94	117.21	9.66	13674.2	18.05	2.93	3.43	3.14	43	2118	1976	9.2	6.7	2694468.24	300100.6	21842.18	191654.17	254305.89	8510.96	5940.76	0	0	3860.62	3331.97	1856.44	45580.01	0	2498394.16	2976.04	3016411.02
"21"	"CIUTAT UNIVERSITARIA"	"EL PLA DEL REAL"	"No Vulnerable"	276959.21875	980	26332.24	11.24	11.98	17236.5	11.15	3.15	4.44	3.58	9	2395	2098	10	6.9	789259.41	315651.27	12074.67	66006.08	97300.62	0	0	0	0	19069.24	2264.53	16667.93	68614.14	0	728720.11	118342.7	1116985.35
"22"	"EL BOTANIC"	"EXTRAMURS"	"No Vulnerable"	370115.59375	1372	120479.11	12.43	50.47	14737.8	18.18	3.4	3.59	3.37	17	2410	1794	10	6.3	1623296.97	451089.33	62683.29	185496.31	278651.21	7350.93	1282.27	0	0	12372.04	24004.47	16003.43	192743.25	625.02	1393985.87	24554.79	2137069.59
"23"	"EL CALVARI"	"CAMPANAR"	"Vulnerable"	93682.34375	229	210605.42	13.42	53.82	9038.5	33.2	2.63	1.88	2.28	24	1808	2455	9	9.2	542035	74541.9	26582.71	52581.65	72315.93	462.61	0	0	0	7750.2	22.8466666666667	8284.21	2826.25	0	498870.22	0	643159.61
