gid;Modelo;Num. Banco;Emplazamiento;Num. Policia;Distrito;Barrio;Año Instalacion;geo_point_2d
4;NEOBARCINO;5018;CARRER PUERTO RICO, 8;;2 - L'EIXAMPLE;1 - RUSSAFA;2021;39.461870323184044, -0.374348057771681
6;mediterraneo;5250;CARRER VOLTA DEL ROSSINYOL, 35;;5 - LA SAIDIA;3 - TRINITAT;;39.480227861022826, -0.3698894162971039
11;;5443;CARRETERA RIU, 265;;19 - POBLATS DEL SUD;3 - PINEDO;;39.424052763997466, -0.34101292541656625
12;;5279;CARRER FALUTX, 12;;4 - CAMPANAR;2 - LES TENDETES;2022;39.48396374275954, -0.38663061495231726
20;;5457;CARRETERA RIU, 310;;19 - POBLATS DEL SUD;3 - PINEDO;;39.42184745636538, -0.3405876086904455
24;ROMANTICO;42;CARRER AMADEU DE SAVOIA 10ac;8;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47377541188508, -0.3625242614135002
25;MEDITERRANEO;3055;;;15 - RASCANYA;2 - TORREFIEL;;39.49850225865364, -0.3724982092612683
26;NEOBARCINO;4140;CARRER CIRIL AMORÓS 43;;2 - L'EIXAMPLE;2 - EL PLA DEL REMEI;;39.46765790590191, -0.37084062218080743
29;mediterraneo;4135;CARRER MORERES 2ac;;10 - QUATRE CARRERES;6 - LA PUNTA;;39.451122318686586, -0.34090075496402655
30;ROMANTICO;4134;CARRER MENDIZÁBAL 16ac;;11 - POBLATS MARITIMS;3 - LA MALVA-ROSA;;39.48406051906871, -0.32979373202117523
37;;4125;CARRER ERNEST FERRER 13;;6 - EL PLA DEL REAL;2 - MESTALLA;;39.47183297306685, -0.35516960213377957
41;MEDITERRANEO;4121;AVINGUDA MARQUÉS DE SOTELO 4;;1 - CIUTAT VELLA;6 - SANT FRANCESC;;39.46893554014559, -0.37704871772404724
47;MEDITERRANEO;4113;PLAÇA AJUNTAMENT 3ac;;1 - CIUTAT VELLA;6 - SANT FRANCESC;;39.47083879423724, -0.37687866564049605
48;MEDITERRANEO;4112;PLAÇA AJUNTAMENT 3ac;;1 - CIUTAT VELLA;6 - SANT FRANCESC;;39.47085846368346, -0.37687330153048454
54;NEOBARCINO;4302;AVINGUDA DOCTOR RUIZ I COMES 48;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.428459818168534, -0.3609569989644589
58;mediterraneo;4103;CARRER MATIES PERELLÓ 26;;2 - L'EIXAMPLE;1 - RUSSAFA;;39.461400673162075, -0.367714787569748
61;mediterraneo;4099;CARRER ENGINYER FAUSTO ELÍO 38;;11 - POBLATS MARITIMS;3 - LA MALVA-ROSA;;39.47944808072246, -0.332585875311517
64;mediterraneo;4096;CARRER SANT RAFAEL 5;;11 - POBLATS MARITIMS;3 - LA MALVA-ROSA;;39.47912615262336, -0.33159345802925705
65;mediterraneo;4095;CARRER SANT RAFAEL 3;;11 - POBLATS MARITIMS;3 - LA MALVA-ROSA;;39.47908267657772, -0.3320346816923382
72;Neobarcino;4088;CARRER JERÓNIMA GALÉS (IMPRESSORA) 57;;9 - JESUS;2 - L'HORT DE SENABRE;;39.45119582950824, -0.39169106670264514
74;neobarcino;4085;CARRER MIQUEL PAREDES 1;;7 - L'OLIVERETA;3 - TRES FORQUES;;39.466804890177016, -0.4003749595649828
76;MEDITERRANEO;4083;CARRER JUAN BAUTISTA PASTOR 7;;17 - POBLATS DEL NORD;7 - BORBOTO;;39.51465740750687, -0.38994665020073427
77;MEDITERRANEO;4082;CARRER GUILLERMINA MEDRANO (PRIMERA DONA REGIDORA) 1;;17 - POBLATS DEL NORD;7 - BORBOTO;;39.513915885242184, -0.38830988744065614
79;MEDITERRANEO;4080;CARRER GUILLERMINA MEDRANO (PRIMERA DONA REGIDORA) 1;;17 - POBLATS DEL NORD;7 - BORBOTO;;39.51393657768704, -0.38841449362694747
80;MEDITERRANEO;4077;PLAÇA PATRONA 8;;17 - POBLATS DEL NORD;7 - BORBOTO;;39.5149943663659, -0.3905661621919403
81;MEDITERRANEO;4075;PLAÇA PATRONA 10;;17 - POBLATS DEL NORD;7 - BORBOTO;;39.51500057383009, -0.39059834867415416
82;mediterraneo;4074;CARRER EMILI BARÓ 82;;14 - BENIMACLET;2 - CAMI DE VERA;;39.49085252687292, -0.3592532524321928
87;romantico;4315;CARRER JUAN REUS PARRA (PINTOR I CASTELLISTA) 8;;19 - POBLATS DEL SUD;7 - LA TORRE;;39.434625150497425, -0.38985092943575356
89;neobarcino;4317;CARRER XIVA 19;;8 - PATRAIX;1 - PATRAIX;;39.46561396112552, -0.3907775905746831
91;MEDITERRANEO;4312;CAMÍ MONTANYARS 52;;19 - POBLATS DEL SUD;3 - PINEDO;;39.419553008447146, -0.33592991712519304
94;mediterraneo;4319;PLAÇA SEGÒVIA 1ac;;9 - JESUS;2 - L'HORT DE SENABRE;;39.44870657069018, -0.39147895132215343
95;Mediterraneo;4314;CARRER PARE VIÑAS 43;;15 - RASCANYA;1 - ELS ORRIOLS;;39.492427705092176, -0.37173544461217695
98;;5458;CARRETERA RIU, 310;;19 - POBLATS DEL SUD;3 - PINEDO;;39.421767684385365, -0.34056615161710924
100;;5291;CARRERA FONTETA DE SANT LLUÍS, 138ac;;10 - QUATRE CARRERES;4 - LA FONTETA S.LLUIS;2022;39.44775360224656, -0.368041914869803
101;neobarcino;4380;CARRER GENERAL PALANCA 5ac;;1 - CIUTAT VELLA;2 - LA XEREA;2021;39.47209369347258, -0.3689867435539245
109;;4065;CARRER ALBORAIA 18;;5 - LA SAIDIA;3 - TRINITAT;;39.48154090564597, -0.3706918418942655
