Geo Point;Geo Shape;nombre;coddistbar;coddistrit;codbar;Zones verd;Densitat_p;turismes_e;atur_16_64;renda_mitj;risc_pobre;Index_Equi;Index_Soci;Index_Glob;Index_Gl_1
39.48698062011333, -0.39034366347223365;"{""coordinates"": [[[-0.389470864324888, 39.48855610433285], [-0.387545779236249, 39.48681468168367], [-0.387305242071244, 39.486602080317695], [-0.387446160674027, 39.48631246297669], [-0.388276802539327, 39.485979792685214], [-0.388586444415861, 39.48661736745453], [-0.388949939530454, 39.486729137073276], [-0.389224041990318, 39.485929017799926], [-0.390115673065574, 39.48553914728731], [-0.390466849676534, 39.48603801375446], [-0.390653090299048, 39.48610976205372], [-0.391219243066135, 39.486320667609135], [-0.392578902694171, 39.485734091399706], [-0.393434429905907, 39.486951447026854], [-0.393277820663198, 39.48702000428048], [-0.39207424757468, 39.48755154346453], [-0.390523525266375, 39.48823291936469], [-0.389470864324888, 39.48855610433285]]], ""type"": ""Polygon""}";EL CALVARI;043;4;43;229;210605.42;13.42;53.82;9038.5;33.2;2.63;1.88;2.28;Vulnerable
39.481767234956926, -0.36883250873211676;"{""coordinates"": [[[-0.368855929299209, 39.48625779476895], [-0.368694998833493, 39.48655594429737], [-0.367607508181944, 39.48627906751092], [-0.36655324148047, 39.4860074379657], [-0.365391126259391, 39.48570631837747], [-0.364706311250044, 39.486253836892594], [-0.36354165327785, 39.485385098257154], [-0.36357245939136, 39.48522363952419], [-0.363810256747798, 39.4847380571491], [-0.364672524678499, 39.4829738987933], [-0.366430557379308, 39.47938324891299], [-0.367443788613531, 39.47731167667305], [-0.368245952084891, 39.477059592134864], [-0.368847247615453, 39.476469620220726], [-0.369768745529392, 39.476751744935726], [-0.370587097833807, 39.47720719075628], [-0.372562198831443, 39.47843201571118], [-0.372800466722794, 39.47856803015916], [-0.374133814140705, 39.47933688765804], [-0.374344769001829, 39.47950381252583], [-0.373089234123008, 39.481299696555645], [-0.37230051538545, 39.48252506606375], [-0.371757721137474, 39.483490233494514], [-0.370853810974537, 39.48482109204335], [-0.370610658116996, 39.4851804454019], [-0.369831261995477, 39.486329423946124], [-0.369439886746508, 39.48622597236197], [-0.369333629725699, 39.48640374216145], [-0.368855929299209, 39.48625779476895]]], ""type"": ""Polygon""}";TRINITAT;053;5;53;4402;148909.56;12.18;65.29;12704.0;20.6;3.47;3.23;3.11;No Vulnerable
39.48174281412896, -0.3630732531369016;"{""coordinates"": [[[-0.36228598771175, 39.48482958890209], [-0.362742956048021, 39.483889536908144], [-0.361344038321116, 39.48285781536562], [-0.35948152407717, 39.48148221042327], [-0.359503983933801, 39.48146470327155], [-0.36030774478875, 39.48080731662445], [-0.360755990018983, 39.4804436346439], [-0.360886941903624, 39.480189859064026], [-0.361247763367528, 39.47948636987104], [-0.364426152134918, 39.48043685661499], [-0.365133893092981, 39.479011512472965], [-0.366430557379308, 39.47938324891299], [-0.364672524678499, 39.4829738987933], [-0.363810256747798, 39.4847380571491], [-0.36357245939136, 39.48522363952419], [-0.36228598771175, 39.48482958890209]]], ""type"": ""Polygon""}";JAUME ROIG;063;6;63;517;217088.67;11.59;34.06;20308.28;8.28;2.79;4.41;3.32;No Vulnerable
39.47904419159025, -0.379985527125758;"{""coordinates"": [[[-0.381054592710665, 39.48223174307484], [-0.380234716006452, 39.48212317402641], [-0.379109125594239, 39.48197166921411], [-0.377954829315536, 39.48161679911829], [-0.376630724373078, 39.48100584724434], [-0.375036006001562, 39.48003742521531], [-0.374344769001829, 39.47950381252583], [-0.374133814140705, 39.47933688765804], [-0.37620432180301, 39.478897191164556], [-0.37687761290764, 39.47737640217122], [-0.376881334305676, 39.47727738949272], [-0.377202938670429, 39.47722609151584], [-0.377235116952247, 39.47704664198499], [-0.377936932707649, 39.47700842709887], [-0.377918705575795, 39.47691343252292], [-0.377980227357664, 39.47664906134117], [-0.378479275602208, 39.4766513117609], [-0.37917038664602, 39.47654978631574], [-0.380435793475883, 39.47630355920536], [-0.381129520973154, 39.4762291073856], [-0.381915938489674, 39.47614323551202], [-0.38245845883152, 39.47599329859699], [-0.383098643192435, 39.47585456728166], [-0.38373641805468, 39.47576082216004], [-0.383757591342139, 39.475486539429724], [-0.384167882608232, 39.47554982863043], [-0.384190837481991, 39.47577106097918], [-0.383864282087284, 39.47760148693512], [-0.383731910177792, 39.478341732611], [-0.383024173781277, 39.480280686906255], [-0.383395236216554, 39.48115839149665], [-0.381054592710665, 39.48223174307484]]], ""type"": ""Polygon""}";EL CARME;013;1;13;1247;120966.62;12.14;51.75;13156.93;21.15;3.6;3.33;3.39;No Vulnerable
39.47854968133147, -0.3586247949715748;"{""coordinates"": [[[-0.359503983933801, 39.48146470327155], [-0.35948152407717, 39.48148221042327], [-0.355607656627414, 39.47861942035599], [-0.354889735382725, 39.47808507712886], [-0.354671079632966, 39.47854405071147], [-0.352742180859539, 39.4779866159122], [-0.353893376326036, 39.475850752014736], [-0.358216303386196, 39.476998638815346], [-0.363388111333367, 39.47850796288269], [-0.365133893092981, 39.479011512472965], [-0.364426152134918, 39.48043685661499], [-0.361247763367528, 39.47948636987104], [-0.360886941903624, 39.480189859064026], [-0.360755990018983, 39.4804436346439], [-0.36030774478875, 39.48080731662445], [-0.359503983933801, 39.48146470327155]]], ""type"": ""Polygon""}";CIUTAT UNIVERSITARIA;064;6;64;980;26332.24;11.24;11.98;17236.5;11.15;3.15;4.44;3.58;No Vulnerable
39.46879027490524, -0.3292224450419801;"{""coordinates"": [[[-0.333219041062315, 39.47644578792098], [-0.328709414437888, 39.475103553396835], [-0.327698550170513, 39.474751501970395], [-0.326456890707986, 39.47458331527032], [-0.324574065332698, 39.47455801687498], [-0.32381384100336, 39.472653202724544], [-0.323063058121024, 39.46805951515033], [-0.322727814173869, 39.46549333198224], [-0.322606949570286, 39.4630762261139], [-0.324211770023889, 39.46305011773727], [-0.327298760258974, 39.46308959638789], [-0.329002159435804, 39.46291704460685], [-0.330163060567043, 39.46281758897176], [-0.33115822189321, 39.46293052543263], [-0.334194003535835, 39.46328395068941], [-0.336495488997934, 39.46367453129202], [-0.335425064380334, 39.4659517189747], [-0.33498029950158, 39.46854502895322], [-0.334703944570948, 39.46853419565961], [-0.334949459900381, 39.469143402977245], [-0.335013715415345, 39.469496217418516], [-0.334987757541157, 39.47008118120793], [-0.334731648880506, 39.47106176444402], [-0.334317011267995, 39.47155223873943], [-0.33415709619451, 39.47280978432169], [-0.333850269467631, 39.474356742658145], [-0.333729361029577, 39.4748404400712], [-0.333439656288548, 39.47599590980928], [-0.333300038687756, 39.47596117532925], [-0.333219041062315, 39.47644578792098]]], ""type"": ""Polygon""}";CABANYAL-CANYAMELAR;112;11;112;3672;335930.53;13.34;249.53;9936.22;29.5;2.91;2.13;2.59;Vulnerable
39.469015560672915, -0.36896456017352786;"{""coordinates"": [[[-0.366015700368094, 39.47310826975877], [-0.364536159191348, 39.471214421184776], [-0.36377884111607, 39.47024231325325], [-0.363131334831728, 39.46942134607538], [-0.36577629936316, 39.46836425097889], [-0.366929554947017, 39.467872390363276], [-0.368070672709498, 39.46739375636631], [-0.369171364384556, 39.46692770897357], [-0.370197531691157, 39.46649148632483], [-0.371205026971956, 39.46606835427014], [-0.373853963644273, 39.464957117869744], [-0.374457864805598, 39.466128384677035], [-0.37491579379821, 39.46712519299862], [-0.373876698634751, 39.46780889833644], [-0.372914913957256, 39.468503350579006], [-0.371125517494178, 39.46974212517272], [-0.370421898454057, 39.470311768385116], [-0.368664141072708, 39.47188453567209], [-0.368382288610659, 39.47207634657072], [-0.366015700368094, 39.47310826975877]]], ""type"": ""Polygon""}";EL PLA DEL REMEI;022;2;22;843;130251.2;11.9;22.23;25795.29;7.1;3.02;4.61;3.51;No Vulnerable
39.468536028924184, -0.35275900742352384;"{""coordinates"": [[[-0.354420273806781, 39.47145749099379], [-0.354411601403215, 39.47147531108978], [-0.35240257793658, 39.470871013321826], [-0.349393860582831, 39.4699646209423], [-0.348356396354837, 39.46966169043639], [-0.348748444930074, 39.468711211515675], [-0.349850549533097, 39.46903362105987], [-0.350323439598772, 39.46782823024298], [-0.351220302971782, 39.4655379271292], [-0.353105654927336, 39.46608538370861], [-0.354237906047869, 39.46641746486176], [-0.355480748364819, 39.46678358242369], [-0.356433105855438, 39.467071009092756], [-0.356540222397229, 39.46710047202328], [-0.355670568302621, 39.468886936494506], [-0.355436592460506, 39.469368085780545], [-0.354420273806781, 39.47145749099379]]], ""type"": ""Polygon""}";ALBORS;122;12;122;712;210550.06;12.16;63.61;11500.0;20.97;3.31;3.13;3.13;Vulnerable
39.464098684300595, -0.38426520352497395;"{""coordinates"": [[[-0.385925237055397, 39.47194533834909], [-0.385408750952572, 39.47122652774152], [-0.384375381162653, 39.46976187339209], [-0.384093524453691, 39.46935463720282], [-0.383001387206429, 39.46781206410328], [-0.38255532650089, 39.467211950447066], [-0.382215233158673, 39.46673132764455], [-0.381610655261193, 39.46582583550046], [-0.381287431205016, 39.46534108569731], [-0.379945696963348, 39.46338747241244], [-0.378077984865138, 39.46304355553302], [-0.378630900631766, 39.46156958366957], [-0.378726181483527, 39.46131498162624], [-0.381238890368745, 39.45462857195771], [-0.381556567927584, 39.45522130298338], [-0.382092535613431, 39.45582345473636], [-0.382502448608793, 39.45624258873411], [-0.383547353343617, 39.457761572512865], [-0.382995942993117, 39.45991576979873], [-0.383293657864147, 39.459976526208806], [-0.38462749243765, 39.45940747248017], [-0.385770230516528, 39.46103223962704], [-0.386937179835339, 39.4626710533348], [-0.387813062351174, 39.46389792568091], [-0.388193606627143, 39.46442448571639], [-0.389962891931741, 39.46693714711569], [-0.390030755564224, 39.46700623738339], [-0.391544856279621, 39.46908072047371], [-0.391492810982436, 39.469093065509455], [-0.390085107242359, 39.4693992813928], [-0.388644577838572, 39.46970924684906], [-0.387478137039621, 39.470692008415504], [-0.385925237055397, 39.47194533834909]]], ""type"": ""Polygon""}";ARRANCAPINS;034;3;34;1826;554390.86;11.74;134.79;15599.29;14.71;3.26;3.87;3.28;No Vulnerable
39.46554379797742, -0.3655204807400264;"{""coordinates"": [[[-0.362400563333855, 39.4683822658261], [-0.361766157249932, 39.467196723894794], [-0.361067265758611, 39.4659106266586], [-0.360152025640141, 39.46414214560327], [-0.359826578696212, 39.463355492884254], [-0.362240942793736, 39.46259053559916], [-0.363329886546453, 39.46266479459981], [-0.365013210235666, 39.46302278510317], [-0.366687163947392, 39.463398565630534], [-0.368290648203503, 39.46373668222998], [-0.369777619791846, 39.46406314013995], [-0.371805441700382, 39.46451441261302], [-0.373853963644273, 39.464957117869744], [-0.371205026971956, 39.46606835427014], [-0.370197531691157, 39.46649148632483], [-0.369171364384556, 39.46692770897357], [-0.368070672709498, 39.46739375636631], [-0.366929554947017, 39.467872390363276], [-0.36577629936316, 39.46836425097889], [-0.363131334831728, 39.46942134607538], [-0.362400563333855, 39.4683822658261]]], ""type"": ""Polygon""}";LA GRAN VIA;023;2;23;2642;330005.18;12.0;69.59;19431.5;9.1;3.11;4.41;3.41;No Vulnerable
