Geo Point;Geo Shape;codcen;dlibre;dgenerica_;despecific;regimen;direccion;codpos;municipio_;provincia_;telef;fax;mail
39.540711999073544, -0.4056249999999998;"{""coordinates"": [-0.405625, 39.540711999073544], ""type"": ""Point""}";46009216;CEIP JOSÉ SENENT;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;JOSÉ SENENT;PÚBLICO;CL. SENENT IBAÑEZ, S/N;46112;València;València;962566440;962566441;46009216@edu.gva.es
39.47973499907391, -0.37798000000000054;"{""coordinates"": [-0.37798, 39.47973499907391], ""type"": ""Point""}";46009472;CENTRE PRIVAT GRAN ASOCIACIÓN;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;GRAN ASOCIACIÓN;CONCERTADO;CL. PADRE HUÉRFANOS, 3;46003;València;València;963911791;963911813;colegio@granasociacion.org
39.46364799907402, -0.3623449999999995;"{""coordinates"": [-0.362345, 39.46364799907402], ""type"": ""Point""}";46009721;CENTRE PRIVAT NUESTRA SEÑORA DE LORETO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;NUESTRA SEÑORA DE LORETO;CONCERTADO;CL. SALAMANCA, 55;46005;València;València;963331029;963355712;secretaria.loretovalencia@fesd.es
39.46280299907402, -0.37246099999999943;"{""coordinates"": [-0.372461, 39.46280299907402], ""type"": ""Point""}";46009848;CENTRE PRIVAT FP OLLER 1;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;OLLER 1;CONCERTADO;CL. CARLOS CERVERA, 9;46006;València;València;963748494;963748494;ollerfp@cece.es
39.464885999074006, -0.38259000000000076;"{""coordinates"": [-0.38259, 39.464885999074006], ""type"": ""Point""}";46010127;CENTRE PRIVAT SANTO TOMÁS DE VILLANUEVA;CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA;SANTO TOMÁS DE VILLANUEVA;CONCERTADO;CL. ALBACETE, 5;46007;València;València;963411999;963807933;colegio@agustinosvalencia.com
39.470934999073975, -0.385999;"{""coordinates"": [-0.385999, 39.470934999073975], ""type"": ""Point""}";46010231;CENTRE PRIVAT ESCOLÀPIES VALÈNCIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;ESCOLÀPIES VALÈNCIA;CONCERTADO;GV. FERNANDO EL CATÓLICO, 23;46008;València;València;963852331;963820499;info@escolapiasvalencia.org
39.49379199907383, -0.3707990000000001;"{""coordinates"": [-0.370799, 39.49379199907383], ""type"": ""Point""}";46010577;CENTRE PRIVAT MERCERATOR;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;MERCERATOR;CONCERTADO;CL. PADRE VIÑAS, 66-68;46019;València;València;963389894;963662742;director@colegiomercerator.es
39.48834399907385, -0.3734330000000006;"{""coordinates"": [-0.373433, 39.48834399907385], ""type"": ""Point""}";46010620;CENTRE PRIVAT LUZ CASANOVA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;LUZ CASANOVA;CONCERTADO;CL. LUZ CASANOVA, 8;46009;València;València;963657568;963653054;direccion@luzcasanova.org
39.49069899907384, -0.3915700000000001;"{""coordinates"": [-0.39157, 39.49069899907384], ""type"": ""Point""}";46010723;CENTRE PRIVAT NUESTRA SEÑORA DEL CARMEN-S.VICENTE PAÚL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;NUESTRA SEÑORA DEL CARMEN-SAN VICENTE PAÚL;CONCERTADO;AV. BURJASSOT, 150;46025;València;València;963491210;963400848;nscsvp@elcarmenbenicalap.com
39.485527999073874, -0.3812810000000006;"{""coordinates"": [-0.381281, 39.485527999073874], ""type"": ""Point""}";46010826;CENTRE PRIVAT SANTIAGO APÓSTOL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTIAGO APÓSTOL;CONCERTADO;CL. DOCTOR OLÓRIZ, 36;46009;València;València;963473715;963488157;direccion@sapostol.com
